
Definition
Representing Images on Multiple Layers of Abstraction in Deep Learning
Representing Images on Multiple Layers of Abstraction in Deep Learning
Deep learning is a class of machine learning algorithms that uses multiple layers to progressively extract higher level features from the raw input. For example, in image processing, lower layers may identify edges, while higher layers may identify the concepts relevant to a human such as digits or letters or faces.

Overview
Most modern deep learning models are based on artificial neural networks, specifically, Convolutional Neural Networks (CNN)s, although they can also include propositional formulas or latent variables organized layer-wise in deep generative models such as the nodes in deep belief networks and deep Boltzmann machines

In deep learning, each level learns to transform its input data into a slightly more abstract and composite representation. In an image recognition application, the raw input may be a matrix of pixels; the first representational layer may abstract the pixels and encode edges; the second layer may compose and encode arrangements of edges; the third layer may encode a nose and eyes; and the fourth layer may recognize that the image contains a face. Importantly, a deep learning process can learn which features to optimally place in which level on its own. 

The word "deep" in "deep learning" refers to the number of layers through which the data is transformed. More precisely, deep learning systems have a substantial credit assignment path (CAP) depth. The CAP is the chain of transformations from input to output. CAPs describe potentially causal connections between input and output. For a feedforward neural network, the depth of the CAPs is that of the network and is the number of hidden layers plus one (as the output layer is also parameterized). For recurrent neural networks, in which a signal may propagate through a layer more than once, the CAP depth is potentially unlimited. No universally agreed upon threshold of depth divides shallow learning from deep learning, but most researchers agree that deep learning involves CAP depth higher than 2. CAP of depth 2 has been shown to be a universal approximator in the sense that it can emulate any function.[14] Beyond that, more layers do not add to the function approximator ability of the network. Deep models (CAP > 2) are able to extract better features than shallow models and hence, extra layers help in learning the features effectively.

Deep learning architectures can be constructed with a greedy layer-by-layer method. Deep learning helps to disentangle these abstractions and pick out which features improve performance.

For supervised learning tasks, deep learning methods eliminate feature engineering, by translating the data into compact intermediate representations akin to principal components, and derive layered structures that remove redundancy in representation.

Deep learning algorithms can be applied to unsupervised learning tasks. This is an important benefit because unlabeled data are more abundant than the labeled data. Examples of deep structures that can be trained in an unsupervised manner are neural history compressors and deep belief networks.

Interpretations
Deep neural networks are generally interpreted in terms of the universal approximation theorem or probabilistic inference.

The classic universal approximation theorem concerns the capacity of feedforward neural networks with a single hidden layer of finite size to approximate continuous functions. In 1989, the first proof was published by George Cybenko for sigmoid activation functions and was generalised to feed-forward multi-layer architectures in 1991 by Kurt Hornik. Recent work also showed that universal approximation also holds for non-bounded activation functions such as the rectified linear unit.


Applications
Automatic speech recognition
Main article: Speech recognition
Large-scale automatic speech recognition is the first and most convincing successful case of deep learning. LSTM RNNs can learn "Very Deep Learning" tasks that involve multi-second intervals containing speech events separated by thousands of discrete time steps, where one time step corresponds to about 10 ms. LSTM with forget gates is competitive with traditional speech recognizers on certain tasks.

The initial success in speech recognition was based on small-scale recognition tasks based on TIMIT. The data set contains 630 speakers from eight major dialects of American English, where each speaker reads 10 sentences. Its small size lets many configurations be tried. More importantly, the TIMIT task concerns phone-sequence recognition, which, unlike word-sequence recognition, allows weak phone bigram language models. This lets the strength of the acoustic modeling aspects of speech recognition be more easily analyzed. The error rates listed below, including these early results and measured as percent phone error rates (PER), have been summarized since 1991.

Who did the first work generally recognized as AI?	Warren McCulloch and Walter Pitts (1943).
What the architecture does to a program?	In general, the architecture makes the percepts from the sensors available to the program, runs the program, and feeds the program's action choices to the actuators as they are generated.
What are the four basic kinds of agent programs that embody the principles underlying almost all intelligent systems?	Simple reflex agents; Model-based reflex agents; Goal-based agents; and Utility-based agents.
What does simple reflex agents do?	These agents select actions on the basis of the current percept, ignoring the rest of the percept history.
What does condition-action rule similar to?	if-then statements.
What is the more general and flexible approach for simple reflex agent?	Firstly build a general-purpose interpreter for condition-action rules and then to create rule sets for specific task environments.
How can a simple reflex agen escape from infinite loops?	The agent can randomize its actions.
What is better instead of allowing simple reflex agents to randomize its actions?	A more sophisticated deterministic agent.
What is the most effective way to handle partial observability for the agent?	The agent should maintain some sort of internal state that depends on the percept history and thereby reflects at least some of the unobserved aspects of the current state. 
What kind of knowledge is required in updating model-based reflex agents' internal state information as time goes by?	First, we need some information about how the world changes over time. Second, we need some information about how the state of the world is reflected in the agent's percepts.
How the information about how the world changes over time in model-based reflex agent can be divided?	The effects of the agent's actions and how the world evolves independently of the agent.
What does the knowledge about “how the world works” is called?	The transition model of the world.
What is sensor model in model-based reflex agent?	A kind of knowledge, which is some information about how the state of the world is reflected in the agent's percepts.
What is the definition of model-based reflex agent?	An agent using transition model and sensor model.
How transition model and sensor model function in model-based reflex agent?	allow an agent to keep track of the state of the world.
Which part in model-based reflex agent's structure is interesting?	The function which is responsible for creating the new internal state description.
What does the model-based reflex agent's knowing of the current world actually is?	It represents the agent's “best guess”, as regardless of the kind of representation used, it is seldom possible for the agent to determine the current state of a partially observable environment exactly.
What does goal information do to agents?	It describes situations that are desirable.
How a goal-based agent appears being more flexible?	It may appears less efficient.
Why economists and computer scientists use the term utility instead?	It is because it sounds more scientific then words like "happy".
What will happen if the internal utility function and the external performance measure are in agreement?	An agent that chooses actions to maximize its utility will be rational according to the external performance measure.
What does a utility function do when there are conflicting goals?	It specifies the appropriate tradeoff.
What does a utility function do when there are several goals that the agent can aim for?	It provides a way in which the likelihood of success can be weighed against the importance of the goals.
How can we say technically about a rational utility-based agent?	It chooses the action that maximizes the expected utility of the action outcomes—that is, the utility the agent expects to derive, on average, given the probabilities and utilities of each outcome. 
What will happen if an agent possesses an explicit utility function?	It can make rational decisions with a general-purpose algorithm that does not depend on the specific utility function being maximized.
What is hard in utility-based function?	A utility-based agent has to model and keep track of its environment; Choosing the utility-maximizing course of action.
What is the advantage for agent to learn?	It allows the agent to operate in initially unknown environments and to become more competent than its initial knowledge alone might allow.
What is the conceptual components for a learning agent?	Learning element; Performance element; Critic; Problem Generator.
What does the learning element in the components for a learning agent do?	It is responsible for making improvements.
What does the performance element in the components for a learning agent do?	It is responsible for selecting external actions.
What does the critic in the components for a learning agent do?	The critic tells the learning element how well the agent is doing with respect to a fixed performance standard.
How should we think when we are trying to design an agent that learns a certain capability?	The first question is not “How am I going to get it to learn this?” but “What kind of performance element will my agent use to do this once it has learned how?” 
Why critic is necessary for a learning agent?	The percepts themselves provide no indication of the agent's success. 
What does the problem generator in the components for a learning agent do?	It is responsible for suggesting actions that will lead to new and informative experiences.
What will happen if an agent is willing to explore a little and do some perhaps suboptimal actions in the short run?	It might discover much better actions for the long run.
What is needed when we are trying to learn a reflex component or a utility function?	Information from the external standard.
What does the performance standard distinguishes part of the incoming percept as?	A reward or penalty that provides direct feedback on the quality of the agent's behavior.
How can we rank the representations of task environments in their expressiveness?	Atomic, factored and structured.
What does a particular agent component that deals with “What my actions do” do?	It describes the changes that might occur in the environment as the result of taking an action, and Figure 2.16!2 provides schematic depictions of how those transitions might be represented.
What happens in an atomic representation?	Each state of the world is indivisible—it has no internal structure.
What are the examples of areas work with atomic representations?	Search and game-playing, hidden Markov models and Markov decision processes.
What does a factored representation do?	It splits up each state into a fixed set of variables or attributes, each of which can have a value.
What are the examples of areas work with factored representations?	Constraint satisfaction algorithms, propositional logic, planning, Bayesian networks and various machine learning algorithms.
What happens in a structured representation?	Objects and their various and varying relationships can be described explicitly
When we need the structured representation?	When we need to understand the world as having things in it that are related to each other, not just variables with values.
What are the examples of areas work with structured representations?	Relational databases and first-order logic, first-order probability models, and much of natural language understanding.
How reasoning and learning changes following to the expressive power of the representation of an agent's environment?	Reasoning and learning become more complex as the expressive power of the representation increases.
How can we gain the benefits of expressive representations of agent environments while avoiding their drawbacks?	Intelligent systems for the real world may need to operate at all points along the axis simultaneously
What happens in a localist representation?	There is a one-to-one mapping between concepts and memory locations.
What happens in a distributed representation?	The representation of a concept is spread over many memory locations, and each memory location is employed as part of the representation of multiple different concepts.
Which representations are more robust against noise and information loss, localist one or distributed one?	Distributed representations.
What bad situation might happen using localist representations?	The mapping from concept to memory location is arbitrary, and if a transmission error garbles a few bits, we might confuse Truck with the unrelated concept Truce.
What is the definition of problem-solving agent?	An agent that need to plan ahead: to consider a sequence of actions that form a path to a goal state.
What is the definition of search?	The computational process that a problem-solving agent undertakes.
What representations do Problem-solving agents use?	Atomic representations.
What happens to informed algorithms?	The agent can estimate how far it is from the goal.
What happens to uninformed algorithms?	The agent cannot estimate how far it is from the goal.
What is the four-phrase problem-solving process?	Goal formulation; problem formulation; Search; Execution.
What an agent does in goal formulation phase?	The agent adopts the goal of a task.
How does the goals act in an agent's goal formulation phase?	Goals organize behavior by limiting the objectives and hence the actions to be considered.
What an agent does in problem formulation phase?	The agent devises a description of the states and actions necessary to reach the goal—an abstract model of the relevant part of the world.
What an agent does in search phase?	Before taking any action in the real world, the agent simulates sequences of actions in its model, searching until it finds a sequence of actions that reaches the goal. 
What is the definition of solution for problem-solving agent?	A sequence of actions that reaches the goal.
What an agent does in execution phase?	The agent excute the actions in the solution, one at a time.
How is the solution in a fully observable, deterministic, known environment?	The solution to any problem is a fixed sequence of actions.
What open-loop system is by the control theorists?	A system ignoring the percepts breaks the loop between agent and environment.
Which loop is more safer for a problem-solving agent, open-loop or closed-loop?	Closed-loop approach.
How is the solution in a partially observable or nondeterministic environment?	A solution would be a branching strategy that recommends different future actions depending on what percepts arrive.
What is the definition of the state space?	A set of possible states that the environment can be in.
What is the definition of the initial state?	The state that the agent starts in.
What is the definition of the goal states?	A set of states that are goals to the agent.
What is the definition of transition model to problem-solving agent?	A model which describes what each action does.
What is the definition of action cost function?	A function reflects an agent's own performance measure.
What is the definition of a search "problem"?	The combination of a state space, an initial state, one or more goal states, transition models and action cost functions.
What is the definition of an optimal solution?	The solution having the lowest path cost.
What is the possible meaning of model?	An abstract mathematical description, which is not the real thing.
What is the definition of abstraction?	The process of removing detail from a representation.
How can we say an abstraction is good?	It involves removing as much detail as possible while retaining validity and ensuring that the abstract actions are easy to carry out.
What will happen if we don't have the ability to construct useful abstractions?	The intelligent agents would be completely swamped by the real world.
What is the definition of standardized problem?	It is intended to illustrate or exercise various problem-solving methods.
How can researchers use a standardized problem?	A standardized problem is suitable as a benchmark for researchers to compare the performance of algorithms.
What is the definition of real-world problem?	It is one whose solutions people actually use, and whose formulation is idiosyncratic, not standardized.
What is a grid world problem?	It is a two-dimensional rectangular array of square cells in which agents can move from cell to cell.
What agents can do to objects in cells in a grid world problem?	Cells can contain objects, which the agent can pick up, push, or otherwise act upon.
What wall or impassible obstacles do in a grid world problem?	Those things in a cell prevents an agent from moving into that cell.
What is the example of a grid world problem?	Sokoban puzzle.
What is a sokoban puzzle?	It is a puzzle that the agent's goal is to push a number of boxes, scattered about the grid, to designated storage locations. 
What is a sliding-tile puzzle?	It is a puzzle that a number of tiles (sometimes called blocks or pieces) are arranged in a grid with one or more blank spaces so that some of the tiles can slide into the blank space.
What is a touring problem?	It is a problem that describes a set of locations that must be visited, rather than a single goal destination.
What is the traveling salesperson problem (TSP)?	It is a touring problem in which every city on a map must be visited.
What does a VLSI layout problem requires?	It requires positioning millions of components and connections on a chip.
What does a VLSI layout problem aims to?	It aims to minimize area, minimize circuit delays, minimize stray capacitances, and maximize manufacturing yield.
How does the VLSI layout problem be splited?	It is split into two parts: cell layout and channel routing.
What is the difference of robot navigation from following distinct paths?	A robot can roam around, in effect making its own paths.
What problem do real robots must also deal with in robot navigation?	Their sensor readings and motor controls, with partial observability, and with other agents that might alter the environment.
Since when does the automatic assembly sequencing of complex objects (such as electric motors) by a robot have been standard industry practice?	1970s.
What is protein design?	It is an assembly problem, in which the goal is to find a sequence of amino acids that will fold into a three-dimensional protein with the right properties to cure some disease.
What is the definition of search algorithm?	A search algorithm takes a search problem as input and returns a solution, or an indication of failure.
What does a node in a search tree corresponds to?	A state in the state space.
What does an edge in a search tree corresponds to?	An action.
What does the root in a search tree corresponds to?	The initial state of the problem.
What is the distinction of the state space from the search tree?	The state space describes the (possibly infinite) set of states in the world, and the actions that allow transitions from one state to another. 
What is the distinction of the search tree from the state space?	The search tree describes paths between these states, reaching towards the goal. The search tree may have multiple paths to (and thus multiple nodes for) any given state, but each node in the tree has a unique path back to the root (as in all trees).
What is the process of expanding a node?	We can expand the node, by considering the available actions for that state, see where those actions lead to, and generating a new node (called a child node or successor node) for each of the resulting states.
If A is a child node of B, what B is of A?	Parent node.
What is the essence of search?	Following up one option now and putting the others aside for later.
How can we say a node is reached?	The node has had a node generated for it.
What is best-first search?	We choose a node, n, with minimum value of some evaluation function, f(n).
What is node?	A node in the tree is represented by a data structure with four components: State; Parent; Action; Path cost.
What is the componenets of a node?	State; Parent; Action; Path cost.
What is queue?	A data structure used to store the frontier.
What are the possible operations on a frontier?	check whether it is empty; remove the top node; return the top node; insert node into proper place
What is a priority queue?	A kind of queue which first pops the node with the minimum cost according to some evaluation function, f.
Where does a priority queue might be used?	It is used in best-first search.
What is a first-in-first-out (FIFO) queue?	A kind of queue which  first pops the node that was added to the queue first.
Where does a FIFO queue might be used?	It is used in breadth-first search.
What is a last-in-first-out (LIFO) queue?	A kind of queue which  first pops the node that was added most recently to the queue.
Where does a LIFO queue might be used?	It is used in depth-first search.
What is the example of loopy path in a search?	The search goes repeatedly between two states.
what is the possible consequence if loopy path occurs in a search?	The complete search tree is infinite.
What should be eliminated in the search?	Redundant paths.
What possible methods can be used to eliminate redundant paths?	Remember all previously reached states to detect redundant paths; do not consider it for minor problem formulations; only check for cycles but not for redundant paths in general.
What is a graph search?	A search algorithm which checks for redundant paths.
What is a tree-like search?	A search algorithm which does not check for redundant paths.
What is an example of graph search algorithm?	The Brst-First-Search algorithm.
What are the evaluation methods on an algorithm’s performance?	Completeness; Cost optimality; Time complexity; Space complexity.
What does Completeness evaluates specificly on an algorithm's performance?	Is the algorithm guaranteed to find a solution when there is one, and to correctly report failure when there is not?
What does Cost optimality evaluates specificly on an algorithm's performance?	Does it find a solution with the lowest path cost of all solutions?
What does Time complexity evaluates specificly on an algorithm's performance?	How long does it take to find a solution? This can be measured in seconds, or more abstractly by the number of states and actions considered.
What does Space complexity evaluates specificly on an algorithm's performance?	How much memory is needed to perform the search?
What kind of search algorithm will be complete?	A search algorithm which is systematic in the way it explores an infinite state space, making sure it can eventually reach any state that is connected to the initial state.
What evaluation methods on an algorithm’s performance are considered with respect to some measure of the problem difficulty?	Time and space complexity.
What variables can we use in measuring the complexity of an algorithm?	d, the depth; m, the maximum number of actions in any path; b, the branching factor
What is an informed search strategy?	One that uses domain-specific hints about the location of goals.
